Folks	NNS	folk
or	CC	or
nine	CD	nine
or	CC	or
however	RB	however
many	JJ	many
town	NN	town
council	NN	council
members	NNS	member
to	TO	to
govern	VB	govern
the	DT	the
affairs	NNS	affair
of	IN	of
the	DT	the
city	NN	city
and	CC	and
the	DT	the
people	NNS	people
that	WDT	that
are	VBP	be
the	DT	the
most	RBS	most
selfless	JJ	selfless
.	SENT	.
And	CC	and
when	WRB	when
we	PP	we
think	VBP	think
about	RB	about
it	PP	it
like	VBP	like
that	IN	that
and	CC	and
we	PP	we
think	VBP	think
about	IN	about
a	DT	a
small	JJ	small
change	NN	change
happening	VBG	happen
at	IN	at
a	DT	a
grassroots	NNS	grassroots
level	NN	level
,	,	,
you	PP	you
can	MD	can
start	VB	start
to	TO	to
imagine	VB	imagine
,	,	,
oh	UH	oh
yeah	RB	yeah
,	,	,
perhaps	RB	perhaps
there	EX	there
is	VBZ	be
a	DT	a
way	NN	way
to	TO	to
,	,	,
in	IN	in
an	DT	an
entirely	RB	entirely
new	JJ	new
.	SENT	.
.	SENT	.
.	SENT	.
In	IN	in
an	DT	an
entirely	RB	entirely
new	JJ	new
method	NN	method
to	TO	to
change	VB	change
fundamentally	RB	fundamentally
how	WRB	how
we	PP	we
govern	VBP	govern
and	CC	and
seek	VBP	seek
our	PP$	our
public	JJ	public
servants	NNS	servant
.	SENT	.
CZ	NN	CZ
:	:	:
I	PP	I
'	POS	'
m	NN	m
wondering	VBG	wonder
,	,	,
like	VB	like
,	,	,
what	WP	what
do	VBP	do
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
as	IN	as
individuals	NNS	individual
to	TO	to
work	VB	work
on	IN	on
ourselves	PP	ourselves
so	RB	so
that	IN	that
we	PP	we
can	MD	can
then	RB	then
participate	VB	participate
in	IN	in
that	DT	that
kind	NN	kind
of	IN	of
,	,	,
societal	JJ	societal
way	NN	way
of	IN	of
working	VBG	work
that	IN	that
you	PP	you
'	''	'
re	IN	re
describing	VBG	describe
?	SENT	?
RW	NN	RW
:	:	:
Great	JJ	great
question	NN	question
.	SENT	.
And	CC	and
I	PP	I
am	VBP	be
old	JJ	old
enough	RB	enough
,	,	,
TED	VB	ted
attendees	NNS	attendee
,	,	,
to	TO	to
remember	VB	remember
the	DT	the
1970s	NNS	1970s
,	,	,
and	CC	and
I	PP	I
spoke	VBD	speak
about	IN	about
television	NN	television
,	,	,
